NE Report
Save Time: 06/25/2025 00:01:06
User Name:admin


Total 15051 Records

"NE Name,""NE Type"",""NE IP Address"",""NE MAC Address"",""NE ID"",""Software Version"",""Physical Location"",""Create Time"",""Fiber/Cable Count"",""Running Status"",""Subnet"",""Subnet Path"",""Alias"",""Remarks"",""Patch Version List"",""Customized Column"",""LSR ID"",""Maintenance Status"",""Gateway Type"",""Gateway"",""Optical NE"",""Subrack Type"",""Conference Call"",""Orderwire Phone"",""NE Subtype"""
"K7098-RTN4545005_GIRESUN_GUR_MAH,""OptiX RTN 905"",""10.210.94.3"",""10-51-72-35-56-B8"","" 17-5005"",""V100R020C10SPC500"",""-"",""01/05/2015 18:30:17"",""1"",""Normal"",""BATLAMA_TT"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Giresun/BATLAMA_TT"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""K7099-RTN4545003_BATLAMA_TT"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"K8554-RTN3648756_ISKILIP_DEVLET_HASTANESI,""OptiX RTN 905"",""10.210.90.4"",""48-46-FB-A0-88-1F"","" 17-8756"",""V100R020C10SPC500"",""-"",""10/29/2015 15:58:50"",""1"",""Normal"",""SUNGURLU"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Corum/SUNGURLU"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""4073-RTN3648753_MANASTIR_BELEDIYE"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"M2415-RTN4666266_BORCKA_FINDIKLI,""OptiX RTN 905"",""10.210.87.16"",""48-46-FB-9C-A1-37"","" 17-6266"",""V100R020C10SPC500"",""-"",""03/02/2016 13:28:50"",""1"",""Normal"",""Artvin"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Artvin"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""3348-RTN4666251_ARTVIN_HASTANE"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"K6360-RTN2281835_BILECIK_KURTKOY,""OptiX RTN 905"",""10.209.39.2"",""AC-85-3D-9E-CA-F0"","" 13-1835"",""V100R020C10SPC500"",""-"",""05/08/2018 08:10:30"",""1"",""Normal"",""T-BBBLCM01-RTN2281790_BILECIK_TR_KULE"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/BILECIK/T-BBBLCM01-RTN2281790_BILECIK_TR_KULE"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""3635-RTN2281790_BOZUYUK_2"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"E2339-RTN2561799_BOZDOGAN_BEYERLI,""OptiX RTN 950"",""10.209.109.2"",""28-6E-D4-98-FD-CB"","" 14-1799"",""V100R020C10SPC500"",""-"",""05/23/2015 20:45:23"",""2"",""Normal"",""A3371-RTN2561624_NAZILLI_UNIVERSITESI"",""ROOT/RTN_SUBNET/EGE(IZMIR)/AYDIN/NAZILLI_MERKEZ/A3371-RTN2561624_NAZILLI_UNIVERSITESI"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""K6051-RTN2561750_AYDIN_TCK"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950"""
"K7091-RTN3648757_SUNGURLU_MERKEZ,""OptiX RTN 905"",""10.210.90.5"",""AC-85-3D-9D-E4-6E"","" 17-8757"",""V100R020C10SPC500"",""-"",""05/16/2014 12:49:39"",""1"",""Normal"",""SUNGURLU"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Corum/SUNGURLU"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""4073-RTN3648753_MANASTIR_BELEDIYE"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"K5615-RTN3587163_SULUOVA_CIKIS,""OptiX RTN 950A"",""10.210.83.165"",""48-46-FB-A0-41-C4"","" 17-7163"",""V100R020C10SPC500"",""-"",""07/07/2021 16:17:07"",""5"",""Normal"",""Amasya"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Amasya"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""3121-RTN3587127_MERZIFON_KAYADUZU"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
"3892-RTN2241899_KESTEL_SANAYI,""OptiX RTN 950A"",""10.209.48.2"",""44-6A-2E-CE-DE-33"","" 13-1899"",""V100R023C10SPC200"",""-"",""05/08/2018 08:06:13"",""8"",""Normal"",""3909-RTN224701_VAKIFKOY-GNE"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/BURSA/VAKIFKOY/3909-RTN224701_VAKIFKOY-GNE"",""-"",""-"",""-"",""-"",""-"",""active"",""Non-gateway"",""3909-RTN224701_VAKIFKOY"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
"E3387-RTN224817_TELEFERIK_2,""OptiX RTN 905"",""10.209.41.2"",""CC-53-B5-F9-6C-C1"","" 13-817"",""V100R020C10SPC500"",""-"",""10/02/2018 20:47:21"",""1"",""Normal"",""K1628-RTN224551_YUNUSELI_TR_KULE-GNE"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/BURSA/YUNUSELI/K1628-RTN224551_YUNUSELI_TR_KULE-GNE"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""K1628-RTN224551_YUNUSELI_TR_KULE"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"M2644-RTN3620773_HAVZA_MESELI,""OptiX RTN 905"",""10.210.107.17"",""10-51-72-28-63-F0"","" 17-773"",""V100R020C10SPC500"",""-"",""08/29/2015 02:06:11"",""1"",""Normal"",""HAVZA"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Samsun/HAVZA"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""5957-RTN3620757_HAVZA_TV"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
