Result Time,Granularity Period,Object Name,Reliability,"50332578","50332579","50332580","50332581","50332673","50332674","50332675","50332676","50332677","50332678","50332679","50332680","50332681","50332682","50332683","50332684","50332685","50332686","50332687","50332688","50332689","50332690","50332691","50332692","50332693","50332694","50332695","50332696","50332697","50332698","50332699","50332700","50332701","50332702","50332703","50332704","50332705","50332706","50332707","50332708","50332709","50332710","50332711","50332712","50332713","50332714","50332715","50332716","50332717","50332718","50332719","50332720","50332721","50332722","50332723","50332724","50332725","50332726","50332727","50332728","50332729","50332730","50332731","50332732","50332733","50332734","50332735","50332736","50332737","50332738","50332739","50332740","50332741","50332742","50332743","50332744","50332745","50332746","50332747","50332748","50332749","50332750","50332751","50332752","50332753","50332754","50332755","50332756","50332757","50332758","50332759","50332760","50332761","50332762","50332763","50332764","50332765","50332766","50332767","50332768","50332769","50332770","50342578","50342579","50342580","50342581"
,Minutes,,,None,None,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,None,None,None,None
2025-06-24 03:00,60,"GLLF_LF057_KAROVA/NodeBFunction:NodeB Function Name=NLF01_39770_LF057_KAROVA",Reliable,0.631,0.103,0.085,8.714,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,0.6,3,50.4
2025-06-24 03:00,60,"GLLF_LF011_BALIKESIR/NodeBFunction:NodeB Function Name=NLF01_39724_LF011_BALIKESIR",Reliable,0.264,0.016,0.243,3.747,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.4,2,18
2025-06-24 03:00,60,"GLLF_LF116_AKSOY_OYUNCAK/NodeBFunction:NodeB Function Name=NLF01_39892_LF116_Aksoy_Oyuncak",Reliable,0.167,0.01,0.028,1.133,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.2,1,8.2
2025-06-24 03:00,60,"SRLF_LF023_DUMLUPINAR/NodeBFunction:NodeB Function Name=NLF01_39736_LF023_DUMLUPINAR",Reliable,0.339,0.072,0.087,3.945,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,0.6,3.8,40
2025-06-24 03:00,60,"GLLF_LF009_ATATURK_STADIUM/NodeBFunction:NodeB Function Name=NLF01_39722_LF009_ATATURK_STADIUM",Reliable,0.225,0.1,0.086,2.394,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1,0.8,14.4
2025-06-24 03:00,60,"GLGN_GN111_NILGUN_RESTURANT/NodeBFunction:NodeB Function Name=NGN01_39611_GN111_NILGUN_RESTURANT",Reliable,0.329,0.03,0.083,4.614,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.6,1.2,13.2
2025-06-24 03:00,60,"GLGN_GN027_CATALKOY/NodeBFunction:NodeB Function Name=NGN01_39527_GN027_CATALKOY",Reliable,1.319,0.121,0.337,12.829,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,1,1.6,26.8
2025-06-24 03:00,60,"GLGN_GN142_SEVENER_RESTURANT/NodeBFunction:NodeB Function Name=NGN01_39900_GN142_SEVENER_RESTURANT",Reliable,0.982,0.071,0.282,8.717,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,0.6,3.2,30
2025-06-24 03:00,60,"SRGN_GN052_ELEXSUS_OTEL_A/NodeBFunction:NodeB Function Name=NGN01_39552_GN052_ELEXSUS_OTEL_A",Reliable,0.054,0.009,0.017,0.33,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,0.8,6.2
2025-06-24 03:00,60,"SRGN_GN053_ELEXSUS_OTEL_B/NodeBFunction:NodeB Function Name=NGN01_39553_GN053_ELEXSUS_OTEL_B",Reliable,0.051,0.001,0.005,0.225,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,0.6,5
