"id","unit_id","branch_id","flow_id","item_id","item_parent_id","item_code","item_name","item_name_lookup","item_ip","item_port","item_version","item_type","sub_network","file_format_version","vendor_name","dc","file_type","item_manager","item_manager_name","source_ip","source_connection_id","source_path","source_file_format","source_time_period","source_starts_with","source_contains","source_ends_with","source_last_modified_time","primary_source_ip","primary_source_connection_id","primary_source_path","primary_source_file_format","primary_source_time_period","primary_source_starts_with","primary_source_contains","primary_source_ends_with","primary_source_last_modified_time","secondary_source_ip","secondary_source_connection_id","secondary_source_path","secondary_source_file_format","secondary_source_time_period","secondary_source_starts_with","secondary_source_contains","secondary_source_ends_with","secondary_source_last_modified_time","is_active","created_time","created_by","updated_time","updated_by","extra_info"
21,111,137,153,,,NTFN,NTFN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
22,111,137,153,,,OMGW,OMGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
23,111,137,153,,,ONENDS,ONENDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
24,111,137,153,,,PGW,PGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
25,111,137,153,,,PGWN,PGWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
26,111,137,153,,,REPOSERVER,REPOSERVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
27,111,137,153,,,SDL,SDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
28,111,137,153,,,SDM,SDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
29,111,137,153,,,SDME,SDME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
30,111,137,153,,,SLB,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
31,111,137,153,,,SPS,SPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
32,111,137,153,,,VM,VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
33,119,149,171,,,"50331648","50331648",,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
34,119,149,171,,,"50331649","50331649",,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
35,119,149,171,,,"50331650","50331650",,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
36,119,149,171,,,"50331651","50331651",,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
37,119,149,171,,,"50331652","50331652",,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
38,119,149,171,,,"50331653","50331653",,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
39,119,149,171,,,"50331663","50331663",,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
40,123,119,135,,,Report_GSM Carrier Report_2G_RAN_Report,Report_GSM Carrier Report_2G_RAN_Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
41,123,119,135,,,Report_GSM Cell Report_2G_RAN_Report,Report_GSM Cell Report_2G_RAN_Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
42,123,119,135,,,Report_LTE Cell Report_3G_LTE_RAN_Report,Report_LTE Cell Report_3G_LTE_RAN_Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
43,123,119,135,,,Report_UMTS Cell Report_3G_RAN_Report,Report_UMTS Cell Report_3G_RAN_Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
44,124,120,136,,,"2G_TRX","2G_TRX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
45,125,121,137,,,ConfigurationReport_result,ConfigurationReport_result,,,,,,,,,,,,,,,,,,LTE_RANINFO,,.csv,,,,,,,,,,,,,,,,,,,,true,,,,,
46,126,122,138,,,Microwave Link Report,Microwave Link Report,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
47,126,122,138,,,NE_Report,NE_Report,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
48,129,125,141,,,NELOG_tbl_NELogTable_Condition,NELOG_tbl_NELogTable_Condition,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
49,129,125,141,,,NELOG_tbl_NESecurityLog_Condition,NELOG_tbl_NESecurityLog_Condition,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
50,130,126,142,,,operation-log-conditional,operation-log-conditional,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
51,131,127,143,,,PM_IG42021_15,PM_IG42021_15,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
52,131,127,143,,,PM_IG42022_15,PM_IG42022_15,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
53,132,128,144,,,MSCBSC_abid,MSCBSC_abid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
54,132,128,144,,,MSCRNC_abid,MSCRNC_abid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
55,133,129,145,,,FTTSDBReport,FTTSDBReport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
56,134,130,146,,,alarm-log-auto,alarm-log-auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
57,135,131,147,,,pgw_asbc,pgw_asbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
58,135,131,147,,,pgw_pcrf,pgw_pcrf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
