"id","remote_path","is_active","created_time","created_by","updated_time","updated_by","extra_info"
1181,/etl/vodafone/10.122.208.17/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1182,/etl/vodafone/10.122.208.17/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1183,/etl/vodafone/10.122.208.18/ftproot/2G_TRX/,true,,,,,
1184,/etl/vodafone/10.122.208.18/ftproot/btk/,true,,,,,
1185,/etl/vodafone/10.122.208.18/ftproot/TTGReport/,true,,,,,
1186,/etl/vodafone/10.122.208.18/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1187,/etl/vodafone/10.122.208.23/export/home/omc/var/fileint/fm/,true,,,,,
1188,/etl/vodafone/10.122.208.7/ftproot/2G_TRX/,true,,,,,
1189,/etl/vodafone/10.122.208.7/ftproot/ABID/,true,,,,,
1190,/etl/vodafone/10.122.208.7/ftproot/btk/,true,,,,,
1191,/etl/vodafone/10.122.208.7/ftproot/TTGReport/,true,,,,,
1192,/etl/vodafone/10.122.208.7/opt/oss/server/var/fileint/cm/autoExport/,true,,,,,
1193,/etl/vodafone/10.122.208.7/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1194,/etl/vodafone/10.122.208.7/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1195,/etl/vodafone/10.122.208.8/ftproot/2G_TRX/,true,,,,,
1196,/etl/vodafone/10.122.208.8/ftproot/btk/,true,,,,,
1197,/etl/vodafone/10.122.208.8/ftproot/TTGReport/,true,,,,,
1198,/etl/vodafone/10.122.208.8/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1199,/etl/vodafone/10.122.208.9/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1200,/etl/vodafone/10.122.208.9/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1201,/etl/vodafone/10.122.209.199/ftproot/2G_TRX/,true,,,,,
1202,/etl/vodafone/10.122.209.199/ftproot/ABID/,true,,,,,
1203,/etl/vodafone/10.122.209.199/ftproot/btk/,true,,,,,
1204,/etl/vodafone/10.122.209.199/ftproot/TTGReport/,true,,,,,
1205,/etl/vodafone/10.122.209.199/opt/oss/server/var/fileint/cm/autoExport/,true,,,,,
1206,/etl/vodafone/10.122.209.199/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1207,/etl/vodafone/10.122.209.200/ftproot/2G_TRX/,true,,,,,
1208,/etl/vodafone/10.122.209.200/ftproot/btk/,true,,,,,
1209,/etl/vodafone/10.122.209.200/ftproot/TTGReport/,true,,,,,
1210,/etl/vodafone/10.122.209.200/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1211,/etl/vodafone/10.122.209.201/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1212,/etl/vodafone/10.122.209.201/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1213,/etl/vodafone/10.122.209.205/export/home/omc/var/fileint/fm/,true,,,,,
1214,/etl/vodafone/10.122.210.10/CME_ConfigurationReport_Task/32712/,true,,,,,
1215,/etl/vodafone/10.122.210.10/ftproot/2G_TRX/,true,,,,,
1216,/etl/vodafone/10.122.210.10/ftproot/btk/,true,,,,,
1217,/etl/vodafone/10.122.210.10/ftproot/TTGReport/,true,,,,,
1218,/etl/vodafone/10.122.210.10/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1219,/etl/vodafone/10.122.210.10/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1220,/etl/vodafone/10.122.210.11/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1221,/etl/vodafone/10.122.210.11/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1222,/etl/vodafone/10.122.210.12/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1223,/etl/vodafone/10.122.210.12/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1224,/etl/vodafone/10.122.210.13/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1225,/etl/vodafone/10.122.210.13/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1226,/etl/vodafone/10.122.210.135/ftproot/2G_TRX/,true,,,,,
1227,/etl/vodafone/10.122.210.135/ftproot/ABID/,true,,,,,
1228,/etl/vodafone/10.122.210.135/ftproot/btk/,true,,,,,
1229,/etl/vodafone/10.122.210.135/ftproot/TTGReport/,true,,,,,
1230,/etl/vodafone/10.122.210.135/opt/oss/server/var/fileint/cm/autoExport/,true,,,,,
1231,/etl/vodafone/10.122.210.135/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1232,/etl/vodafone/10.122.210.135/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1233,/etl/vodafone/10.122.210.136/ftproot/2G_TRX/,true,,,,,
1234,/etl/vodafone/10.122.210.136/ftproot/btk/,true,,,,,
1235,/etl/vodafone/10.122.210.136/ftproot/TTGReport/,true,,,,,
1236,/etl/vodafone/10.122.210.136/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1237,/etl/vodafone/10.122.210.137/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1238,/etl/vodafone/10.122.210.137/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1239,/etl/vodafone/10.122.210.138/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1240,/etl/vodafone/10.122.210.138/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1241,/etl/vodafone/10.122.210.139/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1242,/etl/vodafone/10.122.210.139/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1243,/etl/vodafone/10.122.210.14/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1244,/etl/vodafone/10.122.210.14/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1245,/etl/vodafone/10.122.210.140/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1246,/etl/vodafone/10.122.210.140/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1247,/etl/vodafone/10.122.210.141/CME_ConfigurationReport_Task/32790/,true,,,,,
1248,/etl/vodafone/10.122.210.141/ftproot/2G_TRX/,true,,,,,
1249,/etl/vodafone/10.122.210.141/ftproot/btk/,true,,,,,
1250,/etl/vodafone/10.122.210.141/ftproot/TTGReport/,true,,,,,
1251,/etl/vodafone/10.122.210.141/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1252,/etl/vodafone/10.122.210.142/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1253,/etl/vodafone/10.122.210.142/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1254,/etl/vodafone/10.122.210.143/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1255,/etl/vodafone/10.122.210.143/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1256,/etl/vodafone/10.122.210.144/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1257,/etl/vodafone/10.122.210.144/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1258,/etl/vodafone/10.122.210.145/opt/oss/server/var/fileint/cm/GExport/,true,,,,,
1259,/etl/vodafone/10.122.210.145/opt/oss/server/var/fileint/pmneexport/,true,,,,,
1260,/etl/vodafone/10.122.210.146/ftproot/2G_TRX/,true,,,,,
1261,/etl/vodafone/10.122.210.146/ftproot/btk/,true,,,,,
1262,/etl/vodafone/10.122.210.146/ftproot/TTGReport/,true,,,,,
1263,/etl/vodafone/10.122.210.146/opt/oss/server/var/fileint/cm/Report/,true,,,,,
1264,/etl/vodafone/10.122.210.15/ftproot/2G_TRX/,true,,,,,
1265,/etl/vodafone/10.122.210.15/ftproot/btk/,true,,,,,
1266,/etl/vodafone/10.122.210.15/ftproot/TTGReport/,true,,,,,
1267,/etl/vodafone/10.122.210.15/opt/oss/server/var/fileint/cm/Report/,true,,,,,
