"id","flow_id","all_table_id","schema_name","table_name","column_name","object_key","object_key2","column_name_lookup","column_description","column_order_id","column_type","column_formula","column_length","model_type","is_column_gen","column_gen_formula","is_column_agg","column_agg_formula","need_refresh","is_generated","is_failed","is_active","created_time","created_by","updated_time","updated_by","extra_info","flow_code"
116,111,6,pm,t00111n000003,t00111n000003c0031,"127996559",,,,31,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 01:28:26.780 +0300,,2026-02-04 01:40:01.316 +0300,,,
117,111,7,pm,t00111n000004,duration,etlApp.constant.granPeriod_duration,,,,1,VARCHAR,,10,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:21:24.606 +0300,,2026-02-06 14:29:22.430 +0300,,,
118,111,7,pm,t00111n000004,end_time,etlApp.constant.granPeriod_endTime,,,,2,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:21:24.606 +0300,,2026-02-06 14:29:22.430 +0300,,,
119,111,7,pm,t00111n000004,begin_time,etlApp.constant.measCollec_beginTime,,,,3,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
120,111,7,pm,t00111n000004,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,4,VARCHAR,,1000,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
121,111,7,pm,t00111n000004,fragment_date,etlApp.constant_fragmentDate,,,,5,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
122,111,7,pm,t00111n000004,node_id,etlApp.constant_nodeId,,,,6,VARCHAR,,100,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
123,111,7,pm,t00111n000004,node_name,etlApp.constant_nodeName,,,,7,VARCHAR,,100,CONSTANT,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
124,111,7,pm,t00111n000004,file_id,etlApp.info_fileId,,,,8,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
125,111,7,pm,t00111n000004,unique_row_code,etlApp.info_uniqueRowCode,,,,9,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
71,111,4,pm,t00111n000001,pod_name_pod_id,etlApp.measObjLdn_pod name:Pod Id,,,,12,VARCHAR,,100,MEASOBJLDN,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
70,111,4,pm,t00111n000001,pod_name_omc_agent_id,etlApp.measObjLdn_pod name:OMCAgentId,,,,11,VARCHAR,,100,MEASOBJLDN,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
69,111,4,pm,t00111n000001,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,10,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
68,111,4,pm,t00111n000001,unique_row_code,etlApp.info_uniqueRowCode,,,,9,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
67,111,4,pm,t00111n000001,file_id,etlApp.info_fileId,,,,8,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
66,111,4,pm,t00111n000001,node_name,etlApp.constant_nodeName,,,,7,VARCHAR,,100,CONSTANT,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
65,111,4,pm,t00111n000001,node_id,etlApp.constant_nodeId,,,,6,VARCHAR,,100,CONSTANT,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
64,111,4,pm,t00111n000001,fragment_date,etlApp.constant_fragmentDate,,,,5,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-04 00:10:19.162 +0300,,2026-02-05 22:49:20.085 +0300,,,
63,111,4,pm,t00111n000001,meas_obj_ldn,etlApp.constant.measValue_measObjLdn,,,,4,VARCHAR,,1000,CONSTANT,false,,false,,false,true,false,true,2026-02-04 00:10:19.162 +0300,,2026-02-05 22:49:20.085 +0300,,,
62,111,4,pm,t00111n000001,begin_time,etlApp.constant.measCollec_beginTime,,,,3,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-04 00:10:19.162 +0300,,2026-02-05 22:49:20.085 +0300,,,
61,111,4,pm,t00111n000001,end_time,etlApp.constant.granPeriod_endTime,,,,2,TIMESTAMPTZ,yyyy-mm-dd hh24:miZ,,CONSTANT,false,,false,,false,true,false,true,2026-02-04 00:10:19.162 +0300,,2026-02-05 22:49:20.085 +0300,,,
126,111,7,pm,t00111n000004,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,10,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
72,111,4,pm,t00111n000001,t00111n000001c0013,"1929379844",,,,13,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-04 00:10:19.163 +0300,,2026-02-05 22:49:20.085 +0300,,,
60,111,4,pm,t00111n000001,duration,etlApp.constant.granPeriod_duration,,,,1,VARCHAR,,10,CONSTANT,false,,false,,false,true,false,true,2026-02-04 00:10:19.162 +0300,,2026-02-05 22:49:20.085 +0300,,,
252,158,15,pm,t00158n000002,total_req_count,TOTAL_REQ_COUNT,,,,11,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 12:59:34.704 +0300,,2026-02-27 13:04:21.947 +0300,,,
152,162,9,pm,t00162n000001,ne_name,NE_NAME,,,,8,VARCHAR,,250,VARIABLE,false,,false,,false,true,false,true,2026-02-19 13:44:10.074 +0300,,2026-02-19 14:49:29.190 +0300,,,
153,162,9,pm,t00162n000001,site_id,SITE_ID,,,,9,VARCHAR,,250,VARIABLE,false,,false,,false,true,false,true,2026-02-19 13:44:10.074 +0300,,2026-02-19 14:49:29.190 +0300,,,
150,162,9,pm,t00162n000001,interface,INTERFACE,,,,6,VARCHAR,,250,VARIABLE,false,,false,,false,true,false,true,2026-02-19 13:44:10.072 +0300,,2026-02-19 14:49:29.190 +0300,,,
127,111,7,pm,t00111n000004,pod_name_omc_agent_id,etlApp.measObjLdn_pod name:OMCAgentId,,,,11,VARCHAR,,100,MEASOBJLDN,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
128,111,7,pm,t00111n000004,pod_name_pod_id,etlApp.measObjLdn_pod name:Pod Id,,,,12,VARCHAR,,100,MEASOBJLDN,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
129,111,7,pm,t00111n000004,t00111n000004c0013,"1929379843",,,,13,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
130,111,7,pm,t00111n000004,t00111n000004c0014,"1929379850",,,,14,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-06 14:21:24.607 +0300,,2026-02-06 14:29:22.430 +0300,,,
140,111,8,pm,t00111n000005,unique_row_hash_code,etlApp.info_uniqueRowHashCode,,,,10,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
