"id","company_id","domain_id","organisation_id","vendor_id","unit_id","branch_id","flow_id","element_type","counter_group_type","counter_group_key","counter_key","model_type","counter_group_lookup","counter_lookup","counter_group_description","counter_description","is_active","created_time","created_by","updated_time","updated_by","extra_info"
7040,13,11,11,11,111,111,111,UDG,Pod Name,"1914307043",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7041,13,11,11,11,111,111,111,UDG,pod name,"1929384100",etlApp.measObjLdn_pod name:OMCAgentId,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7042,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929457410",etlApp.measObjLdn_SERVICEGROUP:ServiceGroup,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7043,13,11,11,11,111,111,111,UDG,Node Name,"1914307058",etlApp.measObjLdn_Node Name:GroupType,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7044,13,11,11,11,111,111,111,CloudUDN,CloudUDN,"1915163005",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18318,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491524",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18320,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491525",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18322,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491526",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18324,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491527",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18326,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491528",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18328,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491529",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18331,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480386","1929480918",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18332,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480386","1929480919",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
13889,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511598",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13891,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511591",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13892,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511590",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13894,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511579",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13895,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455456","1929511699",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
7055,13,11,11,11,111,111,111,CloudUDN,CloudUDN,"1915163004",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18335,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480387","1929480979",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7074,13,11,11,11,111,111,111,CloudUDN,CloudUDN,"1915163002",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7075,13,11,11,11,111,111,111,UDG,VNRS Resource Unit,"1907953688",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7076,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929457413",etlApp.measObjLdn_SERVICEGROUP:ServiceGroup,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7078,13,11,11,11,111,111,111,UNC,M3UA link,"117440656",etlApp.constant_fragmentDate,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7083,13,11,11,11,111,111,111,CloudUDN,CloudUDN,"1915163001",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7093,13,11,11,11,111,111,111,UDG,VNRS Resource Unit,"1907953689",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7097,13,11,11,11,111,111,111,UNC,Service Module,"167774002",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7099,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455387",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7101,13,11,11,11,111,111,111,UDG,LB Process,"1908080704",etlApp.measObjLdn_LB Process:OMCAgentId,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18337,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480387","1929480977",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18339,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929480387","1929480978",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18341,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494474",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18342,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494475",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18343,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494476",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7103,13,11,11,11,111,111,111,UNC,Service Module,"167774001",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18344,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494477",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18345,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494478",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18346,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494479",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
7107,13,11,11,11,111,111,111,UNC,Innerconfig Mission exit,"167774601",etlApp.info_uniqueRowCode,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7108,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455386",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7110,13,11,11,11,111,111,111,UNC,MCC,"1929457439",etlApp.constant.granPeriod_duration,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7116,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455385",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7133,13,11,11,11,111,111,111,UDG,pod name,"1929392640",etlApp.measObjLdn_pod name:OMCAgentId,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7140,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455384",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7142,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929457418",etlApp.measObjLdn_SERVICEGROUP:ServiceGroup,MEASOBJLDN,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7153,13,11,11,11,111,111,111,UDG,Pod Name,"1914307044",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7155,13,11,11,11,111,111,111,UDG,CSDB Resource Unit,"1908015376",etlApp.constant.measValue_measObjLdn,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7160,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455383",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7170,13,11,11,11,111,111,111,UDG,Pod Name,"1914307045",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7173,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455382",etlApp.info_fileId,INFO,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
7181,13,11,11,11,111,111,111,UNC,Service Module,"167774000",etlApp.constant_nodeId,CONSTANT,,,,,true,2026-01-26 15:27:55.977 +0300,,,,
18349,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494470",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18350,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494471",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18351,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494472",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18352,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494473",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18353,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491535",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18355,13,11,11,11,111,111,111,UNC,UsnFunction,"117490522","117491536",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
13896,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455468","1929511578",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
18371,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494485",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
13897,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929455456","1929511698",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13898,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929469378","1929469423",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13899,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929469378","1929469422",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
13900,13,11,11,11,111,111,111,UNC,SERVICEGROUP,"1929469378","1929469421",VARIABLE,,,,,true,2026-01-26 15:27:55.982 +0300,,,,
18373,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494486",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18374,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494487",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18375,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494488",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
18376,13,11,11,11,111,111,111,UNC,TAI Group,"117496852","117494489",VARIABLE,,,,,true,2026-01-26 15:27:55.988 +0300,,,,
