"id","unit_id","branch_id","flow_id","node_id","node_parent_id","node_code","node_name","node_name_lookup","node_ip","node_port","node_version","node_type","sub_network","file_format_version","vendor_name","dc","file_type","node_manager","node_manager_name","source_ip","source_connection_id","source_path","source_file_format","source_time_period","source_starts_with","source_contains","source_ends_with","source_last_modified_time","primary_source_ip","primary_source_connection_id","primary_source_path","primary_source_file_format","primary_source_time_period","primary_source_starts_with","primary_source_contains","primary_source_ends_with","primary_source_last_modified_time","secondary_source_ip","secondary_source_connection_id","secondary_source_path","secondary_source_file_format","secondary_source_time_period","secondary_source_starts_with","secondary_source_contains","secondary_source_ends_with","secondary_source_last_modified_time","is_active","created_time","created_by","updated_time","updated_by","extra_info"
264,121,138,154,,,EN36_43709_A4903_COREKTEPE_ULAK,EN36_43709_A4903_COREKTEPE_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
265,121,138,154,,,EN36_43722_A4922_Kars_Havaalani_2_ULAK,EN36_43722_A4922_Kars_Havaalani_2_ULAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
266,121,151,176,,,GLIS_IS042_ZAFERBURNU,GLIS_IS042_ZAFERBURNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
267,121,151,176,,,GLIS_IS043_ZIYAMET_VIP2,GLIS_IS043_ZIYAMET_VIP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
268,121,151,176,,,GLIS_IS046_YDU_BOGAZICI_HASTANE,GLIS_IS046_YDU_BOGAZICI_HASTANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
269,121,151,176,,,GLIS_IS049_GRAND_SAPHIRE_OUTDOOR,GLIS_IS049_GRAND_SAPHIRE_OUTDOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
270,121,151,176,,,GLIS_IS051_ERGAZI,GLIS_IS051_ERGAZI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
271,121,151,176,,,GLLF_LF002_AKINCILAR,GLLF_LF002_AKINCILAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
272,121,151,176,,,GLLF_LF004_ALAYKOY_KAVSAK,GLLF_LF004_ALAYKOY_KAVSAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
273,121,151,176,,,SRLF_LF101_YAKINDOGU_TIP_INDOOR,SRLF_LF101_YAKINDOGU_TIP_INDOOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
274,121,151,176,,,SRLF_LF144_GAZILER_TRAILER_MOBIL,SRLF_LF144_GAZILER_TRAILER_MOBIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
275,121,151,176,,,SRLK_LK006_ESKI_ERENKOY,SRLK_LK006_ESKI_ERENKOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
276,121,151,176,,,SRLK_LK016_YEDIDALGA_NEW,SRLK_LK016_YEDIDALGA_NEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
277,121,151,176,,,SRMG_MG020_DUZCE_SINIR_KULE,SRMG_MG020_DUZCE_SINIR_KULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
278,121,151,176,,,SRMG_MG025_GUVERCINLIK,SRMG_MG025_GUVERCINLIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
582,111,146,165,54,,ORTACGWLEFH02.VNRS_VNFC,ORTACGWLEFH02.VNRS_VNFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
583,111,146,165,55,,ORTAENSLEFH02,ORTAENSLEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
584,111,146,165,56,,ORTAESIGHT,ORTAESIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
585,111,146,165,57,,ORTAGWCLEFH02,ORTAGWCLEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
586,111,146,165,58,,ORTAGWULEFH02,ORTAGWULEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
587,111,146,165,59,,ORTAIMSLEFH02,ORTAIMSLEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
